receptor,taxa,gene,orientation,chromosome,start,end
lpar3,Scyliorhinus_canicula,SSX2IP,+,4,6568040,6623421
lpar3,Scyliorhinus_canicula,VTG,-,4,6628585,6721520
lpar3,Scyliorhinus_canicula,VTG,+,4,6776248,6796646
lpar3,Scyliorhinus_canicula,VTG,+,4,6816815,6837761
lpar1/2/3-petromyzon,Petromyzon_marinus1,ADNP,-,1,10944925,10961216
lpar1/2/3-petromyzon,Petromyzon_marinus1,ADNP,+,1,10967182,10980116
lpar1/2/3-petromyzon,Petromyzon_marinus1,ADNP,-,1,10979022,11005163
lpar1/2/3-petromyzon,Petromyzon_marinus1,ECPAS,-,1,11009510,11144469
lpar1/2/3-petromyzon,Petromyzon_marinus1,MCOLN3,+,1,11151570,11203966
lpar1/2/3-petromyzon,Petromyzon_marinus1,LPAR1/2/3-LIKE,+,1,11270816,11354333
lpar1/2/3-petromyzon,Petromyzon_marinus1,MYOSIN HEAD,+,1,11371041,11377150
lpar1/2/3-petromyzon,Petromyzon_marinus1,ADNP,+,1,11378821,11401182
lpar1/2/3-petromyzon,Petromyzon_marinus1,MYOSIN HEAD,-,1,11407790,11419044
lpar1/2/3-petromyzon,Petromyzon_marinus1,ADNP,-,1,11418062,11453822
lpar1/2/3-petromyzon,Petromyzon_marinus1,ADNP,-,1,11463685,11473229
lpar1/2/3-petromyzon,Petromyzon_marinus2,MYOSIN HEAD,-,44,339553,346208
lpar1/2/3-petromyzon,Petromyzon_marinus2,VCP,+,44,409860,485255
lpar1/2/3-petromyzon,Petromyzon_marinus2,ADGRG1,-,44,682192,1032686
lpar1/2/3-petromyzon,Petromyzon_marinus2,DTWD1,-,44,1075951,1087528
lpar1/2/3-petromyzon,Petromyzon_marinus2,SVEP1,-,44,1090231,1140285
lpar1/2/3-petromyzon,Petromyzon_marinus2,LPAR1/2/3-LIKE,-,44,1145378,1155708
lpar1/2/3-petromyzon,Petromyzon_marinus2,NPR1,-,44,1168880,1229747
lpar1/2/3-petromyzon,Petromyzon_marinus2,MMAB,+,44,1237851,1262290
lpar1/2/3-petromyzon,Petromyzon_marinus2,DUSP3,+,44,1265010,1274621
lpar1/2/3-petromyzon,Petromyzon_marinus2,BMPR1B,+,44,1281896,1306670
lpar1/2/3-petromyzon,Petromyzon_marinus2,NFIA,+,44,1316481,1427851
lpar1/2/3-petromyzon,Petromyzon_marinus3,ADNP,-,-,191498,197344
lpar1/2/3-petromyzon,Petromyzon_marinus3,PCDH17,+,-,203795,226989
lpar1/2/3-petromyzon,Petromyzon_marinus3,ADNP,-,-,231084,239291
lpar1/2/3-petromyzon,Petromyzon_marinus3,ADNP,-,-,247106,251171
lpar1/2/3-petromyzon,Petromyzon_marinus3,MYOSIN HEAD,+,-,263848,280466
lpar1/2/3-petromyzon,Petromyzon_marinus3,LPAR1/2/3-LIKE,-,-,289013,291201
lpar1/2/3-petromyzon,Petromyzon_marinus3,ADNP,+,-,378056,381586
lpar1/2/3-petromyzon,Petromyzon_marinus3,ADNP,+,-,431663,433346
lpar1/2/3-petromyzon,Petromyzon_marinus3,ADNP,+,-,505362,508422
lpar1/2/3-petromyzon,Petromyzon_marinus3,MYOSIN HEAD,+,-,549849,569329
lpar1/2/3-petromyzon,Petromyzon_marinus3,FAT1,-,-,598619,625765
lpar4,Homo_sapiens,PGAM4,-,X,77967948,77969637
lpar4,Homo_sapiens,PGK1,+,X,78104247,78129294
lpar4,Homo_sapiens,TAF9B,-,X,78129747,78139649
lpar4,Homo_sapiens,CYSLTR1,-,X,78271467,78327610
lpar4,Homo_sapiens,RTL3,-,X,78656067,78659327
lpar4,Homo_sapiens,LPAR4,+,X,78747719,78758713
lpar4,Homo_sapiens,P2RY10,+,X,78945390,78963726
lpar4,Homo_sapiens,GPR174,+,X,79144687,79175317
lpar4,Homo_sapiens,ITM2A,-,X,79360383,79367333
lpar4,Homo_sapiens,TBX22,+,X,80014752,80031773
lpar4,Homo_sapiens,TENT5D,+,X,80335503,80445308
lpar4,Gallus_gallus,KIF4B,+,4,1226047,1243238
lpar4,Gallus_gallus,TAF9,-,4,1245056,1248268
lpar4,Gallus_gallus,FNDC3A,-,4,1251297,1289027
lpar4,Gallus_gallus,CYSLTR1,-,4,1302314,1319547
lpar4,Gallus_gallus,CXCR8,+,4,1319514,1326175
lpar4,Gallus_gallus,LPAR4,+,4,1351954,1365620
lpar4,Gallus_gallus,P2RY10,+,4,1391379,1398772
lpar4,Gallus_gallus,P2RY10,+,4,1401492,1405935
lpar4,Gallus_gallus,GPR174,+,4,1410252,1416096
lpar4,Gallus_gallus,ITM2A,-,4,1425205,1434193
lpar4,Gallus_gallus,TBX22,+,4,1461422,1466606
lpar4,Chelonia_mydas,ITM2A,+,9,75131186,75147746
lpar4,Chelonia_mydas,CPSF6,+,9,75145909,75147746
lpar4,Chelonia_mydas,GPR174,-,9,75181577,75199009
lpar4,Chelonia_mydas,P2RY10,-,9,75223242,75233393
lpar4,Chelonia_mydas,P2RY10,-,9,75239838,75254181
lpar4,Chelonia_mydas,LPAR4,-,9,75297284,75319989
lpar4,Chelonia_mydas,CYSLTR1,+,9,75506651,75522149
lpar4,Chelonia_mydas,FNDC3A,+,9,75565204,75647491
lpar4,Chelonia_mydas,GHSR,-,9,75649331,75652452
lpar4,Chelonia_mydas,TAF9,+,9,75663160,75669317
lpar4,Chelonia_mydas,KIF4A,-,9,75672092,75712757
lpar4,Geotrypetes_seraphini,TAF9B,-,5,49925914,49957188
lpar4,Geotrypetes_seraphini,GHSR,+,5,49959007,49968362
lpar4,Geotrypetes_seraphini,FNDC3A,-,5,49975666,50153217
lpar4,Geotrypetes_seraphini,CYSLTR1,-,5,50161790,50346329
lpar4,Geotrypetes_seraphini,MYOSIN HEAD,-,5,50223571,50233849
lpar4,Geotrypetes_seraphini,LPAR4,+,5,50390695,50429450
lpar4,Geotrypetes_seraphini,P2RY10,+,5,50552330,50555112
lpar4,Geotrypetes_seraphini,GPR174,+,5,50604533,50647900
lpar4,Geotrypetes_seraphini,ITM2A,-,5,50673732,50693057
lpar4,Geotrypetes_seraphini,TBX22,+,5,50844216,50895023
lpar4,Geotrypetes_seraphini,CHMP1B,-,5,50961180,50984153
lpar4,Protopterus_annectens1,CHMP1B,+,15.part0,411868464,412426360
lpar4,Protopterus_annectens1,TBX22,-,15.part0,413091776,413159141
lpar4,Protopterus_annectens1,ITM2A,+,15.part0,414494282,414859639
lpar4,Protopterus_annectens1,GPR174,-,15.part0,415554611,415885736
lpar4,Protopterus_annectens1,P2RY10,-,15.part0,416704698,417048009
lpar4,Protopterus_annectens1,LPAR4,-,15.part0,418021398,418451311
lpar4,Protopterus_annectens1,7TM GPCR SRX,-,15.part0,419805426,419957169
lpar4,Protopterus_annectens1,UTP14A,-,15.part0,420144770,420886755
lpar4,Protopterus_annectens1,TTI2,+,15.part0,420936660,421327199
lpar4,Protopterus_annectens1,VMA21,-,15.part0,421351932,421466880
lpar4,Protopterus_annectens1,GPR50,-,15.part0,422541802,422592198
lpar4,Protopterus_annectens2,ARR3,-,15.part0,603484551,604019992
lpar4,Protopterus_annectens2,INPPL1,+,15.part0,604020048,605119829
lpar4,Protopterus_annectens2,P2RY4,-,15.part0,605559867,606525547
lpar4,Protopterus_annectens2,P2RY4,+,15.part0,607395731,607673300
lpar4,Protopterus_annectens2,MYOSIN HEAD,+,15.part0,608505129,608579271
lpar4,Protopterus_annectens2,CYSLTR1,+,15.part0,608654632,609310155
lpar4,Protopterus_annectens2,FNDC3A,+,15.part0,609971277,611293415
lpar4,Protopterus_annectens2,TAF9,+,15.part0,611425027,611765672
lpar4,Protopterus_annectens2,SLC6A14,+,15.part0,621263700,621621233
lpar4,Protopterus_annectens2,AGTR2,-,15.part0,621884392,621952197
lpar4,Protopterus_annectens2,U2SURP,-,15.part0,622973344,624513127
lpar4,Latimeria_chalumnae,KLHL4,-,15,37385585,37452250
lpar4,Latimeria_chalumnae,DACHA,-,15,37926075,38389269
lpar4,Latimeria_chalumnae,CHM,+,15,38446160,38563503
lpar4,Latimeria_chalumnae,CYSLTR1,-,15,38595175,38599675
lpar4,Latimeria_chalumnae,CXCR4,+,15,38810877,38825233
lpar4,Latimeria_chalumnae,LPAR4,+,15,38918614,38937284
lpar4,Latimeria_chalumnae,P2RY10,+,15,39044755,39075642
lpar4,Latimeria_chalumnae,RERE,+,15,39075666,39077376
lpar4,Latimeria_chalumnae,GPR174,+,15,39215130,39216101
lpar4,Latimeria_chalumnae,ITM2A,-,15,39262306,39299389
lpar4,Latimeria_chalumnae,TBX2,+,15,39487374,39508165
lpar4,Alosa_alosa,HARBI1,+,21,10984452,10986208
lpar4,Alosa_alosa,RRAGA,-,21,11022881,11040476
lpar4,Alosa_alosa,FNDC3A,-,21,11044904,11071915
lpar4,Alosa_alosa,CYSLTR1,-,21,11085336,11159010
lpar4,Alosa_alosa,7TM,+,21,11195265,11196883
lpar4,Alosa_alosa,LPAR4,+,21,11220568,11226478
lpar4,Alosa_alosa,MUC4,-,21,11231891,11242367
lpar4,Alosa_alosa,MCCC2,+,21,11242444,11244449
lpar4,Alosa_alosa,P2RY10,+,21,11248842,11258464
lpar4,Alosa_alosa,GPR174,+,21,11263099,11273737
lpar4,Alosa_alosa,ITM2A,-,21,11284001,11289283
lpar4,Scyliorhinus_canicula,SUCLA2,-,17,82067739,82243519
lpar4,Scyliorhinus_canicula,TAF9,-,17,82255019,82270032
lpar4,Scyliorhinus_canicula,FNDC3A,-,17,82311511,82467911
lpar4,Scyliorhinus_canicula,CYSLTR1,-,17,82597951,82637009
lpar4,Scyliorhinus_canicula,CXCR5,+,17,82975603,83023063
lpar4,Scyliorhinus_canicula,LPAR4,+,17,83109855,83173198
lpar4,Scyliorhinus_canicula,P2RY10,+,17,83362549,83418431
lpar4,Scyliorhinus_canicula,GPR174,+,17,83565651,83590616
lpar4,Scyliorhinus_canicula,ITM2A,-,17,83757493,83776679
lpar4,Scyliorhinus_canicula,TBX22,+,17,83973901,83998237
lpar4,Scyliorhinus_canicula,CHMP1B,-,17,84140476,84163877
lpar5,Homo_sapiens,NCAPD2,+,12,6494101,6531954
lpar5,Homo_sapiens,GAPDH,+,12,6534516,6538370
lpar5,Homo_sapiens,IFFO1,-,12,6538960,6556041
lpar5,Homo_sapiens,NOP2,-,12,6556870,6568290
lpar5,Homo_sapiens,CHD4,-,12,6570081,6607378
lpar5,Homo_sapiens,LPAR5,-,12,6618834,6635958
lpar5,Homo_sapiens,ACRBP,-,12,6638074,6647431
lpar5,Homo_sapiens,ING4,-,12,6650300,6663118
lpar5,Homo_sapiens,ZNF384,-,12,6666476,6689571
lpar5,Homo_sapiens,PIANP,-,12,6692177,6700814
lpar5,Homo_sapiens,COPS7A,+,12,6724045,6731864
lpar5,Monodelphis_domestica,COPS7A,-,5,121532542,121552172
lpar5,Monodelphis_domestica,PIANP,+,5,121560787,121568377
lpar5,Monodelphis_domestica,ZNF384,+,5,121585371,121610309
lpar5,Monodelphis_domestica,ING4,+,5,121619454,121624676
lpar5,Monodelphis_domestica,ACRBP,+,5,121627093,121640568
lpar5,Monodelphis_domestica,LPAR5,+,5,121641818,121650127
lpar5,Monodelphis_domestica,CHD4,+,5,121666525,121700722
lpar5,Monodelphis_domestica,NOP2,+,5,121700876,121717428
lpar5,Monodelphis_domestica,IFFO1,+,5,121717876,121733327
lpar5,Monodelphis_domestica,GAPDH,-,5,121734064,121738786
lpar5,Monodelphis_domestica,NCAPD2,-,5,121743846,121819212
lpar5,Ornithorhynchus_anatinus,NCAPD2,+,X4,1188656,1201195
lpar5,Ornithorhynchus_anatinus,GAPDH,+,X4,1203165,1207245
lpar5,Ornithorhynchus_anatinus,IFFO1,-,X4,1208321,1219551
lpar5,Ornithorhynchus_anatinus,NOP2,-,X4,1222281,1230434
lpar5,Ornithorhynchus_anatinus,CHD4,-,X4,1233525,1251278
lpar5,Ornithorhynchus_anatinus,LPAR5,-,X4,1259800,1268315
lpar5,Ornithorhynchus_anatinus,ACRBP,-,X4,1269174,1280497
lpar5,Ornithorhynchus_anatinus,ING4,-,X4,1281411,1291021
lpar5,Ornithorhynchus_anatinus,ZNF384,-,X4,1292512,1308979
lpar5,Ornithorhynchus_anatinus,PIANP,-,X4,1314643,1320542
lpar5,Ornithorhynchus_anatinus,COPS7A,+,X4,1324133,1329024
lpar5,Gallus_gallus,CNP1,+,1,76894912,76900736
lpar5,Gallus_gallus,GAPDH,+,1,76902320,76906237
lpar5,Gallus_gallus,IFFO1,-,1,76909098,76925881
lpar5,Gallus_gallus,NOP2,-,1,76932603,76937808
lpar5,Gallus_gallus,CHD4,-,1,76938119,76959583
lpar5,Gallus_gallus,LPAR5,-,1,76977377,76986175
lpar5,Gallus_gallus,ACRBP,-,1,76989990,77008736
lpar5,Gallus_gallus,ING4,-,1,77017975,77032723
lpar5,Gallus_gallus,ZNF384,-,1,77038764,77064538
lpar5,Gallus_gallus,PIANP,-,1,77082589,77100194
lpar5,Gallus_gallus,COPS7A,+,1,77100357,77103450
lpar5,Chelonia_mydas,NCAPD2,+,1,205924948,205981785
lpar5,Chelonia_mydas,GAPDH,+,1,206023789,206029096
lpar5,Chelonia_mydas,IFFO1,-,1,206068114,206084240
lpar5,Chelonia_mydas,NOP2,-,1,206089723,206099968
lpar5,Chelonia_mydas,CHD4,-,1,206101403,206125933
lpar5,Chelonia_mydas,LPAR5,-,1,206167405,206183475
lpar5,Chelonia_mydas,WNT4,+,1,206181839,206189642
lpar5,Chelonia_mydas,ACRBP,-,1,206189559,206255590
lpar5,Chelonia_mydas,ING4,-,1,206274207,206317521
lpar5,Chelonia_mydas,ZNF384,-,1,206373505,206405786
lpar5,Chelonia_mydas,PIANP,-,1,206445311,206474787
lpar5,Geotrypetes_seraphini,MED11,+,16,209537,214784
lpar5,Geotrypetes_seraphini,GAPDH,+,16,226780,238119
lpar5,Geotrypetes_seraphini,IFFO1,-,16,245074,292935
lpar5,Geotrypetes_seraphini,NOP2,-,16,300138,315638
lpar5,Geotrypetes_seraphini,CHD4,-,16,319928,432750
lpar5,Geotrypetes_seraphini,LPAR5,-,16,461451,546370
lpar5,Geotrypetes_seraphini,WNT4,+,16,518523,523557
lpar5,Geotrypetes_seraphini,MRPL51,+,16,533536,538791
lpar5,Geotrypetes_seraphini,VAMP1,+,16,540304,551851
lpar5,Geotrypetes_seraphini,TAPBPL,-,16,552805,559168
lpar5,Geotrypetes_seraphini,CD27,-,16,559752,566692
lpar5,Protopterus_annectens,MYOSIN HEAD,-,8.part0,12523424,12637615
lpar5,Protopterus_annectens,VWA1,-,8.part0,12784113,13210007
lpar5,Protopterus_annectens,VAMP1,-,8.part0,13814466,14029979
lpar5,Protopterus_annectens,MRPL51,-,8.part0,14181645,14363862
lpar5,Protopterus_annectens,WNT4,-,8.part0,14490167,14939384
lpar5,Protopterus_annectens,LPAR5,+,8.part0,15662721,16089629
lpar5,Protopterus_annectens,LPAR5,+,8.part0,16121647,16408063
lpar5,Protopterus_annectens,IFFO1,-,8.part0,16801727,17192637
lpar5,Protopterus_annectens,NOP2,-,8.part0,17449730,18226484
lpar5,Protopterus_annectens,CHD4,-,8.part0,18450977,19798854
lpar5,Protopterus_annectens,GAPDH,-,8.part0,20358582,20363364
lpar5,Protopterus_annectens,CHD4,+,8.part0,20496345,20544952
lpar5,Latimeria_chalumnae,PTMA,+,5,187069208,187078877
lpar5,Latimeria_chalumnae,B3GALT5,+,5,187088655,187093139
lpar5,Latimeria_chalumnae,IFFO1,-,5,187126794,187158826
lpar5,Latimeria_chalumnae,NOP2,-,5,187163503,187195652
lpar5,Latimeria_chalumnae,CHD4,-,5,187203293,187272305
lpar5,Latimeria_chalumnae,LPAR5,-,5,187326997,187338555
lpar5,Latimeria_chalumnae,ACRBP,+,5,187414412,187443268
lpar5,Latimeria_chalumnae,WNT4,-,5,187449554,187457566
lpar5,Latimeria_chalumnae,MRPL51,+,5,187462685,187468946
lpar5,Latimeria_chalumnae,VAMP1,+,5,187481814,187485376
lpar5,Latimeria_chalumnae,VWA1,+,5,187515996,187546023
lpar5,Scyliorhinus_canicula,DDX19A,+,16,84900061,84954795
lpar5,Scyliorhinus_canicula,ACAP3,-,16,84955521,85079720
lpar5,Scyliorhinus_canicula,ENO2,+,16,85172826,85220679
lpar5,Scyliorhinus_canicula,PTPN6,+,16,85403906,85512752
lpar5,Scyliorhinus_canicula,ABI,+,16,85522641,85528041
lpar5,Scyliorhinus_canicula,LPAR5,-,16,85550954,85574929
lpar5,Scyliorhinus_canicula,MYOSIN HEAD,-,16,85729831,85821651
lpar5,Scyliorhinus_canicula,ACRBP,-,16,85822873,85854061
lpar5,Scyliorhinus_canicula,COL4A1,-,16,85887273,85890685
lpar5,Scyliorhinus_canicula,ZNF384,-,16,85897534,85922585
lpar5,Scyliorhinus_canicula,PIANP,-,16,85995814,86003159
lpar5,Scyliorhinus_canicula,LPAR5,-,16,86099330,86100741
lpar5,Scyliorhinus_canicula,NCAPD2,-,16,86110963,86163155
lpar5,Scyliorhinus_canicula,PEX5,+,16,86254559,86284359
lpar5,Scyliorhinus_canicula,LPCAT3,-,16,86285344,86330742
lpar5,Scyliorhinus_canicula,MYOSIN HEAD,+,16,86423944,86463450
lpar5,Scyliorhinus_canicula,MDGA1,+,16,86528894,86549268
lpar6,Homo_sapiens,SUCLA2,-,13,47942655,48001272
lpar6,Homo_sapiens,NUDT15,+,13,48037725,48052754
lpar6,Homo_sapiens,MED4,-,13,48075723,48095103
lpar6,Homo_sapiens,ITM2B,+,13,48233205,48270356
lpar6,Homo_sapiens,RB1,+,13,48303750,48481889
lpar6,Homo_sapiens,LPAR6,-,13,48389570,48444668
lpar6,Homo_sapiens,RCBTB2,-,13,48488962,48535894
lpar6,Homo_sapiens,HERPES LAMP2,-,13,48504383,48506805
lpar6,Homo_sapiens,CYSLTR2,+,13,48653928,48711225
lpar6,Homo_sapiens,FNDC3A,+,13,48975290,49209778
lpar6,Homo_sapiens,MLNR,+,13,49220337,49222376
lpar6,Gallus_gallus,NUDT15,+,1,168554751,168558397
lpar6,Gallus_gallus,MED4,-,1,168560703,168569787
lpar6,Gallus_gallus,MYOSIN HEAD,-,1,168588856,168596055
lpar6,Gallus_gallus,ITM2B,+,1,168596136,168622124
lpar6,Gallus_gallus,RB1,+,1,168632962,168710103
lpar6,Gallus_gallus,LPAR6,-,1,168677263,168678695
lpar6,Gallus_gallus,RCBTB2,-,1,168711579,168741131
lpar6,Gallus_gallus,CYSLTR2,+,1,168786110,168795546
lpar6,Gallus_gallus,FNDC3A,+,1,168878578,168992871
lpar6,Gallus_gallus,MLNR,+,1,168993009,168996840
lpar6,Gallus_gallus,CDADC1,+,1,169008188,169024208
lpar6,Chelonia_mydas,FNDC3A,-,1,57178923,57381072
lpar6,Chelonia_mydas,CYSLTR2,-,1,57560400,57570677
lpar6,Chelonia_mydas,CYSLTR2,-,1,57574078,57587792
lpar6,Chelonia_mydas,RCBTB2,+,1,57688151,57781873
lpar6,Chelonia_mydas,RB1,-,1,57770983,57938703
lpar6,Chelonia_mydas,LPAR6,+,1,57839172,57842437
lpar6,Chelonia_mydas,ITM2B,-,1,57965424,57989890
lpar6,Chelonia_mydas,MED4,+,1,58008608,58029517
lpar6,Chelonia_mydas,NUDT15,-,1,58034887,58036800
lpar6,Chelonia_mydas,SUCLA2,+,1,58053629,58095865
lpar6,Chelonia_mydas,RIPPLY,-,1,58522590,58523949
lpar6,Geotrypetes_seraphini,MLNR,-,6,62372273,62417389
lpar6,Geotrypetes_seraphini,MLNR,-,6,62429509,62433958
lpar6,Geotrypetes_seraphini,FNDC3A,-,6,62451148,62691358
lpar6,Geotrypetes_seraphini,RCBTB2,+,6,62724257,62789641
lpar6,Geotrypetes_seraphini,RB1,-,6,62815239,63197647
lpar6,Geotrypetes_seraphini,LPAR6,+,6,62983823,62986416
lpar6,Geotrypetes_seraphini,ITM2B,-,6,63214052,63305451
lpar6,Geotrypetes_seraphini,UFC1,+,6,63227718,63228300
lpar6,Geotrypetes_seraphini,MED4,+,6,63305818,63328385
lpar6,Geotrypetes_seraphini,NUDT15,-,6,63335848,63348257
lpar6,Geotrypetes_seraphini,SUCLA2,+,6,63354116,63510393
lpar6,Protopterus_annectens,FNDC3A,-,5.part1,540751554,544019436
lpar6,Protopterus_annectens,PIBF1,-,5.part1,544042092,544043914
lpar6,Protopterus_annectens,CYSLTR2,-,5.part1,545023526,545325659
lpar6,Protopterus_annectens,RCBTB2,+,5.part1,553469629,554601886
lpar6,Protopterus_annectens,RB1,-,5.part1,554831532,558272092
lpar6,Protopterus_annectens,LPAR6,+,5.part1,555909851,555912011
lpar6,Protopterus_annectens,ITM2B,-,5.part1,558469735,558946529
lpar6,Protopterus_annectens,NUDT15,-,5.part1,560060105,560166009
lpar6,Protopterus_annectens,ARL13B,-,5.part1,560335141,561152780
lpar6,Protopterus_annectens,MED4,+,5.part1,561249813,561721823
lpar6,Protopterus_annectens,SKA3,+,5.part1,562063951,562794572
lpar6,Latimeria_chalumnae,SUCLA2,-,4,175148099,175234674
lpar6,Latimeria_chalumnae,NUDT15,+,4,175233569,175253137
lpar6,Latimeria_chalumnae,MED4,-,4,175275092,175299907
lpar6,Latimeria_chalumnae,ITM2BB,+,4,175340955,175375286
lpar6,Latimeria_chalumnae,RB1,+,4,175395708,175712345
lpar6,Latimeria_chalumnae,LPAR6,-,4,175570637,175576216
lpar6,Latimeria_chalumnae,RCBTB2,-,4,175728552,175765519
lpar6,Latimeria_chalumnae,CYSLTR2,+,4,175827956,175828882
lpar6,Latimeria_chalumnae,FNDC3A,+,4,175939834,176266622
lpar6,Latimeria_chalumnae,MLNR,+,4,176285041,176288767
lpar6,Latimeria_chalumnae,CDADC1,+,4,176316711,176391124
lpar6,Alosa_alosa,WASHC5,-,15,12086742,12106588
lpar6,Alosa_alosa,MLNR,-,15,12111781,12115292
lpar6,Alosa_alosa,FNDC3A,-,15,12117217,12176104
lpar6,Alosa_alosa,CYSLTR2,-,15,12204997,12210876
lpar6,Alosa_alosa,RCBTB2,+,15,12238114,12267249
lpar6,Alosa_alosa,LPAR6,+,15,12276044,12282771
lpar6,Alosa_alosa,NEK3,-,15,12315562,12326970
lpar6,Alosa_alosa,LHFPL6,-,15,12334952,12386625
lpar6,Alosa_alosa,LHFPL6,-,15,12389521,12391482
lpar6,Alosa_alosa,COG6,+,15,12392696,12443313
lpar6,Alosa_alosa,FOXO1A,-,15,12485405,12522738
lpar6,Danio_rerio,ALG8,+,21,24351442,24360037
lpar6,Danio_rerio,GUCA1D,-,21,24365211,24369066
lpar6,Danio_rerio,DUB,-,21,24376610,24410252
lpar6,Danio_rerio,CYSLTR2,-,21,24415328,24418667
lpar6,Danio_rerio,RB1,-,21,24419360,24475986
lpar6,Danio_rerio,LPAR6,+,21,24443186,24446907
lpar6,Danio_rerio,LPAR6,+,21,24451883,24456144
lpar6,Danio_rerio,DLAT,-,21,24478069,24493682
lpar6,Danio_rerio,ZW10,-,21,24494925,24505691
lpar6,Danio_rerio,USP28,-,21,24510011,24548834
lpar6,Danio_rerio,HTR3B,+,21,24548691,24572627
lpar6,Scyliorhinus_canicula,FNDC3A,-,7,107344205,107677259
lpar6,Scyliorhinus_canicula,CYSLTR2,-,7,107793950,107794879
lpar6,Scyliorhinus_canicula,CYSLTR2,-,7,107956733,107988545
lpar6,Scyliorhinus_canicula,RCBTB2,+,7,108049168,108182618
lpar6,Scyliorhinus_canicula,RB1,-,7,108183507,108660621
lpar6,Scyliorhinus_canicula,LPAR6,+,7,108349030,108351163
lpar6,Scyliorhinus_canicula,ITM2B,-,7,108708768,108732339
lpar6,Scyliorhinus_canicula,MED4,+,7,108772395,108811587
lpar6,Scyliorhinus_canicula,NUDT15,-,7,108812620,108827152
lpar6,Scyliorhinus_canicula,SUCLA2,+,7,108846059,109064709
lpar6,Scyliorhinus_canicula,HTR2A,+,7,109600653,110295210
lpar4/5/6-like,Zootoca_vivipara,KRTCAP3,+,3,120378750,120384943
lpar4/5/6-like,Zootoca_vivipara,IFT172,-,3,120384906,120407139
lpar4/5/6-like,Zootoca_vivipara,LDLRAP1,+,3,120407439,120412209
lpar4/5/6-like,Zootoca_vivipara,FNDC4,-,3,120413095,120415845
lpar4/5/6-like,Zootoca_vivipara,FMO-LIKE,+,3,120425972,120435547
lpar4/5/6-like,Zootoca_vivipara,LPAR4/5/6-LIKE,-,3,120436223,120437316
lpar4/5/6-like,Zootoca_vivipara,MYOSIN HEAD,-,3,120459160,120464085
lpar4/5/6-like,Zootoca_vivipara,GPN1,-,3,120465907,120476924
lpar4/5/6-like,Zootoca_vivipara,ZNF512,+,3,120476959,120492485
lpar4/5/6-like,Zootoca_vivipara,FAM75,+,3,120493387,120494832
lpar4/5/6-like,Zootoca_vivipara,CCDC166,-,3,120494850,120499473
lpar4/5/6-like,Thamnophis_elegans,FNDC4,-,4,116114147,116134527
lpar4/5/6-like,Thamnophis_elegans,GOLGA6L22,+,4,116143273,116144148
lpar4/5/6-like,Thamnophis_elegans,ZNF512,-,4,116148456,116163252
lpar4/5/6-like,Thamnophis_elegans,GPN1,+,4,116163600,116177838
lpar4/5/6-like,Thamnophis_elegans,ST6GAL1,+,4,116185859,116214256
lpar4/5/6-like,Thamnophis_elegans,LPAR4/5/6-LIKE,+,4,116230668,116245057
lpar4/5/6-like,Thamnophis_elegans,FMO3,-,4,116250240,116263964
lpar4/5/6-like,Thamnophis_elegans,LRRC75A,-,4,116276606,116343960
lpar4/5/6-like,Thamnophis_elegans,TMEM248,-,4,116350116,116370588
lpar4/5/6-like,Thamnophis_elegans,NCBP3,-,4,116377509,116396210
lpar4/5/6-like,Thamnophis_elegans,SMTNL2,+,4,116440981,116462783
lpar4/5/6-like,Chelonia_mydas,RIPPLY,-,28,100338,102321
lpar4/5/6-like,Chelonia_mydas,ZNF3,-,28,189168,204172
lpar4/5/6-like,Chelonia_mydas,ZNF436,-,28,217146,229607
lpar4/5/6-like,Chelonia_mydas,FMOGS-OX4,+,28,239831,245158
lpar4/5/6-like,Chelonia_mydas,FIBH,-,28,246204,251301
lpar4/5/6-like,Chelonia_mydas,LPAR4/5/6-LIKE,-,28,251301,263086
lpar4/5/6-like,Chelonia_mydas,ST6GAL2,-,28,265317,278555
lpar4/5/6-like,Chelonia_mydas,GPR17-LIKE (PUTATIVE),-,28,278781,284130
lpar4/5/6-like,Chelonia_mydas,COPS6,+,28,285799,292201
lpar4/5/6-like,Chelonia_mydas,MCM7,-,28,295344,303583
lpar4/5/6-like,Chelonia_mydas,AP4M1,+,28,303680,309735
lpar4/5/6-like,Geotrypetes_seraphini,MCM7,+,16,22503273,22536049
lpar4/5/6-like,Geotrypetes_seraphini,COPS6,-,16,22549412,22573891
lpar4/5/6-like,Geotrypetes_seraphini,GPR17-LIKE (PUTATIVE),+,16,22630226,22639259
lpar4/5/6-like,Geotrypetes_seraphini,GPR17-LIKE (PUTATIVE),+,16,22651675,22660706
lpar4/5/6-like,Geotrypetes_seraphini,ST6GAL1,+,16,22682035,22730232
lpar4/5/6-like,Geotrypetes_seraphini,LPAR4/5/6-LIKE,+,16,22778190,22797053
lpar4/5/6-like,Geotrypetes_seraphini,FMO5,-,16,22809198,22860398
lpar4/5/6-like,Geotrypetes_seraphini,SNAPC2,-,16,22872054,22878644
lpar4/5/6-like,Geotrypetes_seraphini,MYOSIN HEAD,-,16,22904044,22928274
lpar4/5/6-like,Geotrypetes_seraphini,MYOSIN HEAD,-,16,22931111,22988413
lpar4/5/6-like,Geotrypetes_seraphini,CTC1,+,16,23016637,23079508
lpar4/5/6-like,Latimeria_chalumnae,HER8.2,-,8,38613822,38618613
lpar4/5/6-like,Latimeria_chalumnae,CAB39,+,8,38642500,38716863
